prompt_id,question,domain_canonical,domain_inconsistent,adversarial,dataset,n_samples,n_correct,n_incorrect,n_refused,n_definitive,frac_correct,frac_incorrect,frac_refused,hall_rate_strict,hall_rate_merged,p_halluc,hall_rate_naive,score_mean,score_std,len_mean,len_std,H_sem,D_cos,M_bar,K,sig2_S,label
mmlu_00000_t1.0,"Positronium is an atom formed by an electron and a positron (antielectron). It is similar to the hydrogen atom, with the positron replacing the proton. If a positronium atom makes a transition from the state with n=3 to a state with n=1, the energy of the photon emitted in this transition is closest to",STEM,False,False,mmlu,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.55,0.4974937185533099,349.0,136.19067515802982,3.7219280948657207,0.17247352004051208,26.526845932006836,15,0.014805949293076992,1
mmlu_00001_t1.0,The regional lymphatic drainage of the left side of the tip of the tongue is to the,Medicine & Health,False,False,mmlu,20,3,17,0,20,0.15,0.85,0.0,0.85,0.85,0.85,0.85,2.35,1.1521718621802912,423.6,144.53110391884508,2.5332062193349536,0.10201384872198105,21.23326301574707,8,0.007420312147587538,1
mmlu_00002_t1.0,"A school board of a large school district is proposing a new dress code for students. Some students feel that this dress code unfairly targets female students. To see if there is a difference between boys and girls in their opposition to the new dress code, they conduct a poll of 60 randomly selected male and 70 randomly selected female high school students in the district. They find that 66 females oppose the dress code and 50 males oppose the dress code. Which of the following explains why a two-proportion z-test is not appropriate?",Social Sciences,True,False,mmlu,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.85,0.3570714214271425,263.3,118.85625772335254,3.9841837197546632,0.266870379447937,24.698577880859375,17,0.049517858773469925,1
mmlu_00003_t1.0,What rank entitles a general in the US Army to wear three stars?,STEM,True,False,mmlu,20,3,17,0,20,0.15,0.85,0.0,0.85,0.85,0.85,0.85,2.25,1.2196310917650468,277.65,144.49334759773544,3.4037016960385924,0.1454288512468338,21.43119239807129,13,0.013442393392324448,1
mmlu_00004_t1.0,What was NOT a deciding factor in the development of Mesopotamian civilization?,Humanities,True,False,mmlu,20,4,16,0,20,0.2,0.8,0.0,0.8,0.8,0.8,0.8,2.6,1.2,440.35,165.8822699989363,4.121928094861394,0.17877712845802307,18.145679473876953,18,0.02362893335521221,1
mmlu_00005_t1.0,To what extent have biological agents been weaponized?,STEM,True,False,mmlu,20,2,18,0,20,0.1,0.9,0.0,0.9,0.9,0.9,0.9,2.2,0.6,487.45,191.39761623384967,4.321928094858508,0.20249345898628235,19.784313201904297,20,0.015035769902169704,1
mmlu_00006_t1.0,"In the atomic nucleus, electrical forces tend to",STEM,False,False,mmlu,20,7,13,0,20,0.35,0.65,0.0,0.65,0.65,0.65,0.65,3.0,1.378404875209022,469.7,166.88681793359234,4.121928094861394,0.16065432131290436,18.805484771728516,18,0.009601419791579247,1
mmlu_00007_t1.0,Which of the following is not part of the external marketing environment?,Social Sciences,True,False,mmlu,20,15,5,0,20,0.75,0.25,0.0,0.25,0.25,0.25,0.25,4.25,1.299038105676658,308.85,131.09091310994825,2.3192407046238643,0.14995993673801422,15.761373519897461,9,0.03388039395213127,0
mmlu_00008_t1.0,"On January 1, a seller entered into an agreement of sale to convey his farm to a buyer. According to the contract, settlement (or closing) was to take place on March 1 of the same year. On January 20, a barn on the property was destroyed by fire. When the buyer was notified of the loss the following day, he contacted the seller and told him that the deal was off because of the fire. As a result, the buyer filed suit against the seller on January 25 for a refund of his down payment of $5,000. In his suit, the buyer will be unsuccessful and will be obliged to complete the contract if the court determines that on January 20",Law & Business,False,False,mmlu,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,572.4,150.28319932713703,4.221928094859951,0.2088591754436493,21.22029685974121,19,0.0336473248898983,1
mmlu_00009_t1.0,The focus of liberal feminists on equality is denounced by radical feminists as mistaken because:,Social Sciences,False,False,mmlu,20,3,17,0,20,0.15,0.85,0.0,0.85,0.85,0.85,0.85,2.4,1.1135528725660044,373.6,195.74560020598165,4.121928094861394,0.23219628632068634,19.210369110107422,18,0.03785593807697296,1
mmlu_00010_t1.0,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I dried the fine china with the laundromat dryer. Scenario 2 | I went to the sea to go fishing for dolphins.",Social Sciences,False,False,mmlu,20,3,17,0,20,0.15,0.85,0.0,0.85,0.85,0.85,0.85,2.3,1.1874342087037917,312.6,208.85219654099882,4.121928094861394,0.30818861722946167,20.554828643798828,18,0.043523047119379044,1
mmlu_00011_t1.0,Watson and Noble (2005) lay out a five-step model for circular evaluation. At which step should pre-testing of strategy and tactics be carried out?,Social Sciences,False,False,mmlu,20,11,9,0,20,0.55,0.45,0.0,0.45,0.45,0.45,0.44999999999999996,3.65,1.4924811556599298,390.9,213.68034537598444,4.221928094859951,0.26486867666244507,18.737064361572266,19,0.058288756757974625,0
mmlu_00012_t1.0,Statutes are often called ________ law.,Law & Business,False,False,mmlu,20,5,15,0,20,0.25,0.75,0.0,0.75,0.75,0.75,0.75,2.6,1.42828568570857,385.5,172.00247091248428,3.8841837197561055,0.24078233540058136,20.483543395996094,16,0.07535102218389511,1
mmlu_00013_t1.0,What type of organisational culture is most likely to deliver stability and efficiency?,Social Sciences,False,False,mmlu,20,9,11,0,20,0.45,0.55,0.0,0.55,0.55,0.55,0.55,3.1,1.2609520212918492,346.1,138.3480755196833,1.678897902978823,0.07718066871166229,16.84781265258789,6,0.0039031649939715862,1
mmlu_00014_t1.0,"Emma is browsing a popular website when she runs across the story of a well-known actor who was recently pulled over for speeding and driving down the wrong side of the street. It turns out he had been drinking, and the arresting police officer found drugs in the car. The actor's publicist issued a statement claiming the actor was just tired and that the drugs belonged to someone else. Emma can't help having the impression that all public relations are ________ and occur only after something negative has occurred.",Social Sciences,True,False,mmlu,20,4,16,0,20,0.2,0.8,0.0,0.8,0.8,0.8,0.8,2.6,1.2,418.65,142.23862871948677,4.321928094858508,0.2626114785671234,19.840316772460938,20,0.018058981746435165,1
mmlu_00015_t1.0,"A man borrowed $150,000 from a bank to remodel his home and executed a promissory note agreeing to repay the loan over a 10-year period. The loan was secured by a mortgage on the home. The bank promptly recorded the mortgage, which was the only lien on the home at that time. Several months later, the man borrowed $40,000 from his mother in order to purchase a new truck and gave his mother a mortgage on the home to secure repayment of the debt. The mother promptly recorded the mortgage. The man later lost his job and was struggling to make loan payments to both the bank and his mother. To accommodate the man's financial situation, the bank extended the amortization period of its loan to substantially reduce the amount of each monthly payment. The bank did not alter the interest rate or increase the principal amount of the loan. At the time of the modification of the bank loan, the man was not in default in his payments to his mother. Neither the bank nor the man informed the mother of the modification of the bank loan. After the man later missed five payments to his mother, she commenced a foreclosure action. While the action was pending, the mother learned of the bank's loan modification. The mother asserted that her mortgage had become a first lien on the home and that the bank's mortgage had become a second lien. Is the mother's assertion correct?",Law & Business,False,False,mmlu,20,6,14,0,20,0.3,0.7,0.0,0.7,0.7,0.7,0.7,2.8,1.3638181696985856,509.15,148.44738967054963,4.221928094859951,0.20748348534107208,20.767629623413086,19,0.010917801409959793,1
mmlu_00016_t1.0,"White light is normally incident on a puddle of water (index of refraction 1.33). A thin (500 nm) layer of oil (index of refraction 1.5) floats on the surface of the puddle. Of the following, the most strongly reflected wavelength is",STEM,False,False,mmlu,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.65,0.4769696007084729,462.0,173.0759948693059,4.221928094859951,0.2512493133544922,24.762380599975586,19,0.043480630964040756,1
mmlu_00017_t1.0,A person who recognizes a need to change certain behavior but exhibits ambivalence would most likely be in which stage of change?,Social Sciences,False,False,mmlu,20,12,8,0,20,0.6,0.4,0.0,0.4,0.4,0.4,0.4,3.65,1.5898113095584645,382.05,210.68898286336662,3.8219280948642798,0.17362669110298157,17.592863082885742,16,0.0373263843357563,0
