Domain,Classifier,AUC_mean,AUC_std,n_questions
Entertainment,Logistic Regression,0.875,0.21650635094610965,12
Entertainment,Random Forest,0.875,0.21650635094610965,12
Entertainment,XGBoost,0.5,0.0,12
Humanities,Logistic Regression,0.97842333105491,0.02484678882135747,201
Humanities,Random Forest,0.9756664388243335,0.027749565041746204,201
Humanities,XGBoost,0.9724234829497987,0.040479693248197626,201
STEM,Logistic Regression,0.9745098039215687,0.026318858289805104,129
STEM,Random Forest,0.9612745098039216,0.030853160805962322,129
STEM,XGBoost,0.952859477124183,0.049458546775232454,129
Social Sciences,Logistic Regression,0.9606060606060606,0.031198879215112132,84
Social Sciences,Random Forest,0.9275757575757575,0.03439627545130355,84
Social Sciences,XGBoost,0.940909090909091,0.03533910239300183,84
Sports,Logistic Regression,0.85,0.2,17
Sports,Random Forest,0.9,0.20000000000000004,17
Sports,XGBoost,0.85,0.30000000000000004,17
